2025-08-21 15:24:47,952-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:24:48,021-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:24:48,026-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:49,044-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:50,068-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:51,095-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:52,107-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:53,121-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:54,146-DEBUG-root-25612::webapp_internal::close_screen_before_menu|370:: Closing screen before the menu
2025-08-21 15:24:54,205-DEBUG-root-25612::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-08-21 15:24:55,272-DEBUG-root-25612::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": True
2025-08-21 15:24:55,447-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:24:55,563-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:24:55,690-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:24:55,690-DEBUG-root-25612::webapp_internal::send_action|10476:: Trying to send action
2025-08-21 15:24:55,696-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:56,736-DEBUG-root-25612::webapp_internal::send_action|10517:: send_action method result = True
2025-08-21 15:24:56,736-DEBUG-root-25612::webapp_internal::send_action|10518:: send_action selenium status: False
2025-08-21 15:24:56,737-DEBUG-root-25612::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-08-21 15:24:57,357-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:24:57,434-DEBUG-root-25612::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-08-21 15:24:58,517-DEBUG-root-25612::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-08-21 15:24:58,517-DEBUG-root-25612::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-08-21 15:24:58,634-DEBUG-root-25612::webapp_internal::close_warning_screen|1449:: Closing warning screen!
