2025-08-21 09:06:33,826-DEBUG-root-2084::logging_config::logger|188:: Log file created: 'Log\AGLMSCGPE09EKBH\TIR__20250821090633821.log'
2025-08-21 09:06:33,827-INFO-root-2084::base::Start|1175:: TIR Version: 1.20.30
2025-08-21 09:06:33,827-INFO-root-2084::base::Start|1176:: Starting the browser
2025-08-21 09:06:44,827-INFO-root-2084::base::get_url|1274:: Page is ready!
2025-08-21 09:06:44,830-INFO-root-2084::base::Start|1242:: Browser maximized to 1936x1048
2025-08-21 09:06:44,831-INFO-root-2084::base::Start|1244:: Screen size is different from default used in headless mode
2025-08-21 09:06:44,892-INFO-root-2084::webapp_internal::Setup|240:: ***System Info*** in Setup():
2025-08-21 09:06:44,893-DEBUG-root-2084::psutil_info::system_info|5:: CPU USAGE: 67.9%
2025-08-21 09:06:44,893-DEBUG-root-2084::psutil_info::system_info|6:: MEMORY USAGE: 87.4%
2025-08-21 09:06:44,894-DEBUG-root-2084::psutil_info::system_info|7:: MEMORY AVAILABLE: 12.58%
2025-08-21 09:06:44,904-INFO-root-2084::base::webapp_shadowroot|1374:: Webapp: 10.1.2-RC12
2025-08-21 09:06:44,904-INFO-root-2084::webapp_internal::filling_initial_program|437:: Filling Initial Program: "SIGAMDI"
2025-08-21 09:06:44,905-DEBUG-root-2084::webapp_internal::wait_element|7652:: Waiting for element
2025-08-21 09:06:44,960-DEBUG-root-2084::webapp_internal::wait_element|7682:: Element found! Waiting for element to be displayed.
2025-08-21 09:06:45,160-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:45,165-DEBUG-root-2084::webapp_internal::try_send_keys|8005:: Trying to send keys to element using technique 0
2025-08-21 09:06:45,571-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: SIGAMDI
2025-08-21 09:06:45,573-INFO-root-2084::webapp_internal::filling_server_environment|451:: Filling Server Environment: "CG7XJ1_HMG"
2025-08-21 09:06:45,574-DEBUG-root-2084::webapp_internal::wait_element|7652:: Waiting for element
2025-08-21 09:06:45,624-DEBUG-root-2084::webapp_internal::wait_element|7682:: Element found! Waiting for element to be displayed.
2025-08-21 09:06:45,835-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:45,843-DEBUG-root-2084::webapp_internal::try_send_keys|8005:: Trying to send keys to element using technique 0
2025-08-21 09:06:46,213-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: CG7XJ1_HMG
2025-08-21 09:06:46,254-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:46,274-DEBUG-root-2084::webapp_internal::user_screen|507:: Filling user screen
2025-08-21 09:06:52,778-DEBUG-root-2084::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-08-21 09:06:52,849-DEBUG-root-2084::base::scroll_to_element|750:: ********Warining scroll_to_element exception: Message: TypeError: can't access property "scrollIntoView", arguments[0] is null
*********
2025-08-21 09:06:53,236-INFO-root-2084::webapp_internal::user_screen|549:: Filling User
2025-08-21 09:06:53,260-DEBUG-root-2084::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 09:06:53,512-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: BRUNO.ROCHA
2025-08-21 09:06:53,557-INFO-root-2084::webapp_internal::user_screen|609:: Filling Password
2025-08-21 09:06:53,604-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:53,698-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: 123
2025-08-21 09:06:53,699-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:06:53,753-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:06:53,895-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:06:53,953-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:06:53,953-DEBUG-root-2084::webapp_internal::send_action|10482:: Trying to send action
2025-08-21 09:06:53,964-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:55,050-DEBUG-root-2084::webapp_internal::send_action|10523:: send_action method result = True
2025-08-21 09:06:55,050-DEBUG-root-2084::webapp_internal::send_action|10524:: send_action selenium status: False
2025-08-21 09:06:55,870-DEBUG-root-2084::base::scroll_to_element|750:: ********Warining scroll_to_element exception: Message: TypeError: can't access property "scrollIntoView", arguments[0] is null
*********
2025-08-21 09:06:55,963-INFO-root-2084::webapp_internal::filling_date|867:: Filling Date: "21/08/2025"
2025-08-21 09:06:55,964-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:06:56,045-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:06:56,049-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:56,079-DEBUG-root-2084::webapp_internal::try_send_keys|8005:: Trying to send keys to element using technique 1
2025-08-21 09:06:56,151-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: 21/08/2025
2025-08-21 09:06:57,336-INFO-root-2084::webapp_internal::filling_group|920:: Filling Group: "01"
2025-08-21 09:06:57,336-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:06:57,418-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:06:57,423-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:57,565-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: 01
2025-08-21 09:06:58,672-INFO-root-2084::webapp_internal::filling_branch|1011:: Filling Branch: "01011001"
2025-08-21 09:06:58,673-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:06:58,742-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:06:58,745-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:06:58,828-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: 01011001
2025-08-21 09:06:59,979-INFO-root-2084::webapp_internal::filling_environment|1077:: Filling Environment: "02"
2025-08-21 09:06:59,980-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:07:00,067-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:07:00,073-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:00,156-DEBUG-root-2084::webapp_internal::get_web_value|3193:: Current value: 02
2025-08-21 09:07:01,183-DEBUG-root-2084::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-08-21 09:07:03,429-INFO-root-2084::webapp_internal::environment_screen|784:: Clicking on Button
2025-08-21 09:07:03,429-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:07:03,536-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 09:07:03,540-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:04,572-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:05,603-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:06,627-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:07,652-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:08,668-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:09,687-DEBUG-root-2084::webapp_internal::close_screen_before_menu|370:: Closing screen before the menu
2025-08-21 09:07:09,761-DEBUG-root-2084::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-08-21 09:07:10,854-DEBUG-root-2084::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-08-21 09:07:10,855-DEBUG-root-2084::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-08-21 09:07:11,454-DEBUG-root-2084::base::click|189:: Click Type: ClickType.JS
2025-08-21 09:07:11,530-DEBUG-root-2084::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-08-21 09:07:12,644-DEBUG-root-2084::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-08-21 09:07:12,644-DEBUG-root-2084::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-08-21 09:07:12,774-DEBUG-root-2084::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-08-21 09:07:13,871-DEBUG-root-2084::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-08-21 09:07:13,877-DEBUG-root-2084::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-08-21 09:07:14,148-INFO-root-2084::webapp_internal::set_log_info|1582:: Getting log info
2025-08-21 09:07:14,151-INFO-root-2084::webapp_internal::SetLateralMenu|4144:: Navigating lateral menu: Ajuda > Sobre
2025-08-21 09:07:14,174-DEBUG-root-2084::webapp_internal::wait_element|7652:: Waiting for element
2025-08-21 09:07:14,261-DEBUG-root-2084::webapp_internal::wait_element|7682:: Element found! Waiting for element to be displayed.
2025-08-21 09:07:14,470-INFO-root-2084::webapp_internal::SetLateralMenu|4163:: Menu item: "Ajuda"
2025-08-21 09:07:14,470-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:07:14,641-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 09:07:15,453-DEBUG-root-2084::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-08-21 09:07:16,246-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:07:16,401-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 09:07:18,730-INFO-root-2084::webapp_internal::SetLateralMenu|4163:: Menu item: "Sobre"
2025-08-21 09:07:18,731-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 09:07:18,854-DEBUG-root-2084::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 09:07:19,698-DEBUG-root-2084::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-08-21 09:07:20,547-DEBUG-root-2084::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
