2025-09-11 16:43:14,420-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:14,424-DEBUG-root-21388::base::click|189:: Click Type: ClickType.JS
2025-09-11 16:43:14,831-DEBUG-root-21388::webapp_internal::get_web_value|3193:: Current value: 01011001
2025-09-11 16:43:16,065-INFO-root-21388::webapp_internal::environment_screen|798:: Clicking on Button
2025-09-11 16:43:16,068-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:16,235-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:16,240-DEBUG-root-21388::base::click|189:: Click Type: ClickType.JS
2025-09-11 16:43:18,854-DEBUG-root-21388::webapp_internal::close_screen_before_menu|370:: Closing screen before the menu
2025-09-11 16:43:19,039-DEBUG-root-21388::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-09-11 16:43:20,167-DEBUG-root-21388::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-09-11 16:43:20,168-DEBUG-root-21388::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-09-11 16:43:20,841-DEBUG-root-21388::base::click|189:: Click Type: ClickType.JS
2025-09-11 16:43:20,990-DEBUG-root-21388::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-09-11 16:43:22,091-DEBUG-root-21388::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-09-11 16:43:22,092-DEBUG-root-21388::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-09-11 16:43:22,366-DEBUG-root-21388::webapp_internal::close_warning_screen|1449:: Closing warning screen!
2025-09-11 16:43:23,595-DEBUG-root-21388::webapp_internal::check_screen_element|1255:: Checking screen element: "Atenção": False
2025-09-11 16:43:23,597-DEBUG-root-21388::webapp_internal::close_coin_screen|1385:: Closing coin screen!
2025-09-11 16:43:24,367-INFO-root-21388::webapp_internal::set_log_info|1582:: Getting log info
2025-09-11 16:43:24,369-INFO-root-21388::webapp_internal::SetLateralMenu|4144:: Navigating lateral menu: Ajuda > Sobre
2025-09-11 16:43:24,442-DEBUG-root-21388::webapp_internal::wait_element|7652:: Waiting for element
2025-09-11 16:43:24,694-DEBUG-root-21388::webapp_internal::wait_element|7682:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:25,280-INFO-root-21388::webapp_internal::SetLateralMenu|4163:: Menu item: "Ajuda"
2025-09-11 16:43:25,284-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:25,523-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:26,694-DEBUG-root-21388::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:27,750-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:27,977-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:30,278-INFO-root-21388::webapp_internal::SetLateralMenu|4163:: Menu item: "Sobre"
2025-09-11 16:43:30,278-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:30,424-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:31,728-DEBUG-root-21388::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:32,976-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:33,138-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:36,344-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:36,533-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:36,712-DEBUG-root-21388::webapp_internal::wait_element|7652:: Waiting for element
2025-09-11 16:43:36,813-DEBUG-root-21388::webapp_internal::wait_element|7682:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:37,168-INFO-root-21388::webapp_internal::SetButton|4404:: Clicking on Fechar
2025-09-11 16:43:37,169-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:37,461-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:37,849-DEBUG-root-21388::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:38,051-DEBUG-root-21388::webapp_internal::SetButton|4441:: ***System Info*** Before Clicking on button:Fechar
2025-09-11 16:43:38,054-DEBUG-root-21388::psutil_info::system_info|5:: CPU USAGE: 75.7%
2025-09-11 16:43:38,055-DEBUG-root-21388::psutil_info::system_info|6:: MEMORY USAGE: 79.5%
2025-09-11 16:43:38,056-DEBUG-root-21388::psutil_info::system_info|7:: MEMORY AVAILABLE: 20.48%
2025-09-11 16:43:38,398-DEBUG-root-21388::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:38,748-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:38,946-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:38,948-DEBUG-root-21388::webapp_internal::send_action|10482:: Trying to send action
2025-09-11 16:43:38,953-DEBUG-root-21388::base::click|189:: Click Type: ClickType.JS
2025-09-11 16:43:40,028-DEBUG-root-21388::webapp_internal::send_action|10523:: send_action method result = True
2025-09-11 16:43:40,029-DEBUG-root-21388::webapp_internal::send_action|10524:: send_action selenium status: False
2025-09-11 16:43:40,030-DEBUG-root-21388::webapp_internal::SetButton|4643:: ***System Info*** After Clicking on button:
2025-09-11 16:43:40,032-DEBUG-root-21388::psutil_info::system_info|5:: CPU USAGE: 68.6%
2025-09-11 16:43:40,032-DEBUG-root-21388::psutil_info::system_info|6:: MEMORY USAGE: 79.6%
2025-09-11 16:43:40,033-DEBUG-root-21388::psutil_info::system_info|7:: MEMORY AVAILABLE: 20.44%
2025-09-11 16:43:40,034-DEBUG-root-21388::webapp_internal::wait_element|7652:: Waiting for element
2025-09-11 16:43:40,186-INFO-root-21388::webapp_internal::set_program|1750:: Setting program: MATA010
2025-09-11 16:43:40,219-DEBUG-root-21388::webapp_internal::wait_element|7652:: Waiting for element
2025-09-11 16:43:40,304-DEBUG-root-21388::webapp_internal::wait_element|7682:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:40,622-DEBUG-root-21388::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-09-11 16:43:41,189-DEBUG-root-21388::webapp_internal::get_web_value|3193:: Current value: MATA010
2025-09-11 16:43:41,280-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:41,435-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:41,435-DEBUG-root-21388::webapp_internal::send_action|10482:: Trying to send action
2025-09-11 16:43:41,450-DEBUG-root-21388::base::click|189:: Click Type: ClickType.JS
2025-09-11 16:43:42,509-DEBUG-root-21388::webapp_internal::send_action|10523:: send_action method result = True
2025-09-11 16:43:42,509-DEBUG-root-21388::webapp_internal::send_action|10524:: send_action selenium status: False
2025-09-11 16:43:42,510-DEBUG-root-21388::webapp_internal::wait_element_is_not_displayed|7586:: Waiting for element to disappear
2025-09-11 16:43:42,529-DEBUG-root-21388::webapp_internal::close_news_screen|1509:: Closing news screen!
2025-09-11 16:43:42,564-INFO-root-21388::webapp_internal::SetButton|4404:: Clicking on Incluir
2025-09-11 16:43:42,564-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:42,598-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-09-11 16:43:47,157-DEBUG-root-21388::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:48,026-DEBUG-root-21388::webapp_internal::SetButton|4441:: ***System Info*** Before Clicking on button:Incluir
2025-09-11 16:43:48,027-DEBUG-root-21388::psutil_info::system_info|5:: CPU USAGE: 70.4%
2025-09-11 16:43:48,028-DEBUG-root-21388::psutil_info::system_info|6:: MEMORY USAGE: 79.7%
2025-09-11 16:43:48,029-DEBUG-root-21388::psutil_info::system_info|7:: MEMORY AVAILABLE: 20.31%
2025-09-11 16:43:48,992-DEBUG-root-21388::webapp_internal::wait_element_timeout|7755:: Element found! Waiting for element to be displayed.
2025-09-11 16:43:50,380-DEBUG-root-21388::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-09-11 16:43:50,609-DEBUG-root-21388::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-09-11 16:43:50,610-DEBUG-root-21388::webapp_internal::send_action|10482:: Trying to send action
2025-09-11 16:43:50,620-DEBUG-root-21388::base::click|189:: Click Type: ClickType.JS
2025-09-11 16:43:51,733-DEBUG-root-21388::webapp_internal::send_action|10523:: send_action method result = True
2025-09-11 16:43:51,734-DEBUG-root-21388::webapp_internal::send_action|10524:: send_action selenium status: False
2025-09-11 16:43:51,735-DEBUG-root-21388::webapp_internal::SetButton|4643:: ***System Info*** After Clicking on button:
2025-09-11 16:43:51,736-DEBUG-root-21388::psutil_info::system_info|5:: CPU USAGE: 70.4%
2025-09-11 16:43:51,736-DEBUG-root-21388::psutil_info::system_info|6:: MEMORY USAGE: 79.4%
2025-09-11 16:43:51,738-DEBUG-root-21388::psutil_info::system_info|7:: MEMORY AVAILABLE: 20.6%
2025-09-11 16:43:51,738-INFO-root-21388::webapp_internal::WaitShow|4940:: Waiting show text 'Atualizacao de Produtos - Incluir'...
